filename,label,manipulation_type,source_path,extraction_status
Z77HT7VJ5H.jpg,fake,,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\Z77HT7VJ5H.jpg,success
57106.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\test\real\57106.jpg,success
69355.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\valid\real\69355.jpg,success
12729.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\train\real\12729.jpg,success
20350.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\train\real\20350.jpg,success
63467.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\train\real\63467.jpg,success
67417.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\train\real\67417.jpg,success
CU8LP9U1SU.jpg,fake,,data\raw_samples\real_vs_fake\real-vs-fake\test\fake\CU8LP9U1SU.jpg,success
26994.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\train\real\26994.jpg,success
YSOSJ4CCUX.jpg,fake,,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\YSOSJ4CCUX.jpg,success
42786.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\train\real\42786.jpg,success
45070.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\train\real\45070.jpg,success
C1GVBY9SMY.jpg,fake,,data\raw_samples\real_vs_fake\real-vs-fake\valid\fake\C1GVBY9SMY.jpg,success
TNHU8L8BFP.jpg,fake,,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\TNHU8L8BFP.jpg,success
LKUWXIM0LV.jpg,fake,,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\LKUWXIM0LV.jpg,success
11Z4L0N866.jpg,fake,,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\11Z4L0N866.jpg,success
24269.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\train\real\24269.jpg,success
5AAYDTVYTC.jpg,fake,,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\5AAYDTVYTC.jpg,success
AB5PJ4U1LX.jpg,fake,,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\AB5PJ4U1LX.jpg,success
JSNJIJ4AY9.jpg,fake,,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\JSNJIJ4AY9.jpg,success
16716.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\valid\real\16716.jpg,success
48839.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\test\real\48839.jpg,success
87D6W1QLOJ.jpg,fake,,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\87D6W1QLOJ.jpg,success
55428.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\train\real\55428.jpg,success
25473.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\test\real\25473.jpg,success
ZWU06CIQSU.jpg,fake,,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\ZWU06CIQSU.jpg,success
28086.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\train\real\28086.jpg,success
54072.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\train\real\54072.jpg,success
SQAJ994FLB.jpg,fake,,data\raw_samples\real_vs_fake\real-vs-fake\valid\fake\SQAJ994FLB.jpg,success
I0VAH9S684.jpg,fake,,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\I0VAH9S684.jpg,success
B2E2LS0PLF.jpg,fake,,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\B2E2LS0PLF.jpg,success
49717.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\test\real\49717.jpg,success
A5TFEN6GTP.jpg,fake,,data\raw_samples\real_vs_fake\real-vs-fake\test\fake\A5TFEN6GTP.jpg,success
KFBBEB2RVN.jpg,fake,,data\raw_samples\real_vs_fake\real-vs-fake\train\fake\KFBBEB2RVN.jpg,success
17420.jpg,real,,data\raw_samples\real_vs_fake\real-vs-fake\test\real\17420.jpg,success
