epoch,train_loss,train_acc,val_loss,val_acc,backbone_lr,head_lr,elapsed_s,es_counter
21,0.108302,0.97,0.337047,0.84,1e-05,0.0001,363.2,0
22,0.10189,0.972857,0.329012,0.843333,1e-05,0.0001,379.4,0
23,0.096274,0.973571,0.334164,0.87,1e-05,0.0001,340.5,0
24,0.089849,0.977857,0.335065,0.846667,1e-05,0.0001,354.6,1
25,0.078693,0.979286,0.335846,0.866667,1e-05,0.0001,366.1,2
26,0.075654,0.985,0.345854,0.87,5e-06,5e-05,363.0,3
27,0.067016,0.985714,0.33311,0.866667,5e-06,5e-05,350.4,0
28,0.071038,0.985,0.331318,0.87,5e-06,5e-05,350.6,0
29,0.069126,0.983571,0.33236,0.873333,2.5e-06,2.5e-05,352.2,0
30,0.071429,0.980714,0.328848,0.856667,2.5e-06,2.5e-05,350.2,0
