stage,epoch,tr_loss,tr_acc,va_loss,va_acc,backbone_lr,head_lr,es_counter,elapsed_s
2,1,0.466813,0.784286,0.506523,0.756667,1e-05,0.0001,0,507.0
2,2,0.439917,0.808571,0.495,0.76,1e-05,0.0001,0,445.1
2,3,0.40547,0.839286,0.483612,0.756667,1e-05,0.0001,0,403.9
2,4,0.377282,0.844286,0.472632,0.766667,1e-05,0.0001,0,423.4
2,5,0.36152,0.859286,0.451312,0.776667,1e-05,0.0001,0,405.7
2,6,0.344581,0.872143,0.445125,0.783333,1e-05,0.0001,0,389.8
2,7,0.324294,0.882143,0.427194,0.786667,1e-05,0.0001,0,398.8
2,8,0.293781,0.900714,0.421177,0.8,1e-05,0.0001,0,742.1
2,9,0.284741,0.901429,0.407863,0.813333,1e-05,0.0001,0,706.4
2,10,0.259715,0.915714,0.401617,0.82,1e-05,0.0001,0,452.3
2,11,0.236706,0.925,0.389242,0.83,1e-05,0.0001,0,379.1
2,12,0.220032,0.925,0.38137,0.826667,1e-05,0.0001,0,372.9
2,13,0.206043,0.933571,0.373722,0.813333,1e-05,0.0001,0,403.9
2,14,0.173426,0.951429,0.364706,0.826667,1e-05,0.0001,0,373.0
2,15,0.187934,0.947857,0.364682,0.83,1e-05,0.0001,0,384.0
2,16,0.1685,0.95,0.348298,0.83,1e-05,0.0001,0,367.9
2,17,0.153719,0.958571,0.360137,0.843333,1e-05,0.0001,0,1497.6
2,18,0.142557,0.96,0.340973,0.833333,1e-05,0.0001,0,254.8
2,19,0.123465,0.963571,0.335572,0.843333,1e-05,0.0001,0,269.3
2,20,0.116036,0.967143,0.343497,0.846667,1e-05,0.0001,0,269.3
2,21,0.107135,0.972857,0.344425,0.853333,1e-05,0.0001,0,272.3
2,22,0.091407,0.975714,0.34108,0.856667,1e-05,0.0001,0,277.0
2,23,0.085074,0.978571,0.335347,0.853333,5e-06,5e-05,0,284.5
2,24,0.079817,0.982143,0.336494,0.863333,5e-06,5e-05,0,285.8
2,25,0.090445,0.978571,0.33086,0.853333,5e-06,5e-05,0,333.3
2,26,0.076545,0.984286,0.340738,0.856667,5e-06,5e-05,1,540.3
2,27,0.092459,0.975714,0.346623,0.853333,5e-06,5e-05,2,611.1
2,28,0.071739,0.987143,0.347241,0.863333,5e-06,5e-05,3,548.1
2,29,0.077786,0.979286,0.33299,0.856667,2.5e-06,2.5e-05,4,606.9
